Years,Domestically-trained doctors,Foreign-trained doctors,Total of doctors,Domestically-trained nurses,Foreign-trained nurses,Total of nurses
2012,46938,24892,71830,0,0,0
2013,48405,23159,71564,193249,44283,237532
2014,51210,25694,76904,210980,48533,259513
2015,53503,27008,80511,217108,49216,266324
2016,55727,28283,84010,224447,51180,275627
2017,58521,29000,87521,230609,52860,283469
2018,60437,30383,90820,238499,53784,292283
2019,62638,31579,94217,247971,56220,304191
2020,65204,32379,97583,252127,56927,309054
2021,67531,33216,100747,264469,59665,324134
